	id	difference	execution_time	longitude	latitude
233	223	 1-6	2015-08-09 00:30:00	-73.99994661	40.73781509
234	225	 1-6	2015-08-09 00:30:00	-74.00803013	40.74195138
235	228	 1-6	2015-08-09 00:30:00	-73.971878855	40.7546011026
236	229	 1-6	2015-08-09 00:30:00	-73.99379025	40.72743423
237	233	 1-6	2015-08-09 00:30:00	-73.9905273914	40.6947570136
238	236	 1-6	2015-08-09 00:30:00	-73.98713956	40.7284186
239	237	 1-6	2015-08-09 00:30:00	-73.98672378	40.73047309
240	241	 1-6	2015-08-09 00:30:00	-73.97493121	40.68981035
241	248	 1-6	2015-08-09 00:30:00	-74.00771779	40.72185379
242	250	 1-6	2015-08-09 00:30:00	-73.99565293	40.72456089
243	251	 1-6	2015-08-09 00:30:00	-73.99480012	40.72317958
244	252	 1-6	2015-08-09 00:30:00	-73.99852205	40.73226398
245	254	 1-6	2015-08-09 00:30:00	-73.99800419	40.73532427
246	257	 1-6	2015-08-09 00:30:00	-74.00247214	40.71939226
247	259	 1-6	2015-08-09 00:30:00	-74.01234218	40.70122128
248	260	 1-6	2015-08-09 00:30:00	-74.01167797	40.70365182
249	264	 1-6	2015-08-09 00:30:00	-74.00731853	40.70706456
250	265	 1-6	2015-08-09 00:30:00	-73.99147535	40.72229346
251	266	 1-6	2015-08-09 00:30:00	-73.97574813	40.72368361
252	267	 1-6	2015-08-09 00:30:00	-73.98765428	40.75097711
253	268	 1-6	2015-08-09 00:30:00	-73.99973337	40.71910537
254	275	 1-6	2015-08-09 00:30:00	-73.96563307	40.68650065
255	276	 1-6	2015-08-09 00:30:00	-74.0104554	40.71748752
256	280	 1-6	2015-08-09 00:30:00	-73.99510132	40.73331967
257	281	 1-6	2015-08-09 00:30:00	-73.97371465	40.7643971
258	285	 1-6	2015-08-09 00:30:00	-73.99074142	40.73454567
259	290	 1-6	2015-08-09 00:30:00	-73.96478473	40.76020258
260	293	 7-14	2015-08-09 00:30:00	-73.9907647	40.73028666
261	295	 7-14	2015-08-09 00:30:00	-73.99293911	40.71406667
262	296	 1-6	2015-08-09 00:30:00	-73.9970468	40.71413089
263	300	 1-6	2015-08-09 00:30:00	-73.990214	40.728145
264	301	 1-6	2015-08-09 00:30:00	-73.98368779	40.72217444
265	302	 1-6	2015-08-09 00:30:00	-73.97793172	40.72082834
266	303	 1-6	2015-08-09 00:30:00	-73.99949601	40.72362738
267	305	 1-6	2015-08-09 00:30:00	-73.96724467	40.76095756
268	306	 1-6	2015-08-09 00:30:00	-74.00530063	40.70823502
269	307	 1-6	2015-08-09 00:30:00	-73.98990025	40.71427487
270	308	 1-6	2015-08-09 00:30:00	-73.99851193	40.71307916
271	309	 1-6	2015-08-09 00:30:00	-74.013012	40.7149787
272	310	 1-6	2015-08-09 00:30:00	-73.98912867	40.68926942
273	312	15-24	2015-08-09 00:30:00	-73.989111	40.722055
274	316	 1-6	2015-08-09 00:30:00	-74.00653609	40.70955958
275	317	 1-6	2015-08-09 00:30:00	-73.98185424	40.72453734
276	318	 1-6	2015-08-09 00:30:00	-73.9779874	40.75320159
277	320	 1-6	2015-08-09 00:30:00	-74.005549	40.717571
278	322	 1-6	2015-08-09 00:30:00	-73.991218	40.696192
279	325	 1-6	2015-08-09 00:30:00	-73.98473765	40.73624527
280	327	 1-6	2015-08-09 00:30:00	-74.01658354	40.7153379
281	328	 1-6	2015-08-09 00:30:00	-74.00965965	40.72405549
282	329	 1-6	2015-08-09 00:30:00	-74.01020609	40.72043411
283	331	 1-6	2015-08-09 00:30:00	-73.99193043	40.71173107
284	332	 1-6	2015-08-09 00:30:00	-73.97948148	40.71219906
285	334	 1-6	2015-08-09 00:30:00	-73.99726235	40.74238787
286	335	 1-6	2015-08-09 00:30:00	-73.99404649	40.72903917
287	336	 1-6	2015-08-09 00:30:00	-73.99906065	40.73047747
288	340	 1-6	2015-08-09 00:30:00	-73.98776323	40.71269042
289	342	 1-6	2015-08-09 00:30:00	-73.98016555	40.71739973
290	343	 1-6	2015-08-09 00:30:00	-73.96986848	40.69794
291	345	 1-6	2015-08-09 00:30:00	-73.99704374	40.73649403
292	346	 1-6	2015-08-09 00:30:00	-74.00618026	40.73652889
293	347	 1-6	2015-08-09 00:30:00	-74.008591	40.728846
294	348	 1-6	2015-08-09 00:30:00	-74.00154702	40.72490985
295	349	 1-6	2015-08-09 00:30:00	-73.98329859	40.71850211
296	351	 1-6	2015-08-09 00:30:00	-74.00612572	40.70530954
297	352	 1-6	2015-08-09 00:30:00	-73.97722479	40.76340613
298	355	 1-6	2015-08-09 00:30:00	-73.99974372	40.71602118
299	358	 7-14	2015-08-09 00:30:00	-74.00711384	40.73291553
300	359	 1-6	2015-08-09 00:30:00	-73.97498696	40.75510267
301	361	 1-6	2015-08-09 00:30:00	-73.99190759	40.71605866
302	362	 1-6	2015-08-09 00:30:00	-73.98753523	40.75172632
303	363	 7-14	2015-08-09 00:30:00	-74.01713445	40.70834698
304	368	 1-6	2015-08-09 00:30:00	-74.00214988	40.73038599
305	369	 1-6	2015-08-09 00:30:00	-74.00026394	40.73224119
306	372	 1-6	2015-08-09 00:30:00	-73.958089	40.694528
307	375	 1-6	2015-08-09 00:30:00	-73.99695094	40.72679454
308	376	 1-6	2015-08-09 00:30:00	-74.00722156	40.70862144
309	379	 1-6	2015-08-09 00:30:00	-73.9916	40.749156
310	380	 7-14	2015-08-09 00:30:00	-74.00293877	40.73401143
311	382	 1-6	2015-08-09 00:30:00	-73.99200509	40.73492695
312	383	 1-6	2015-08-09 00:30:00	-74.000271	40.735238
313	386	 1-6	2015-08-09 00:30:00	-74.00234482	40.71494807
314	387	15-24	2015-08-09 00:30:00	-74.0046073	40.71273266
315	391	 1-6	2015-08-09 00:30:00	-73.99344559	40.69760127
316	393	 1-6	2015-08-09 00:30:00	-73.97995466	40.72299208
317	394	 1-6	2015-08-09 00:30:00	-73.97768752	40.72521311
318	402	 1-6	2015-08-09 00:30:00	-73.98955109	40.7403432
319	403	 1-6	2015-08-09 00:30:00	-73.99069656	40.72502876
320	404	 1-6	2015-08-09 00:30:00	-74.00550867	40.7405826
321	405	 7-14	2015-08-09 00:30:00	-74.008119	40.739323
322	406	 1-6	2015-08-09 00:30:00	-73.99595065	40.69512845
323	410	 1-6	2015-08-09 00:30:00	-73.98517977	40.72066442
324	415	 1-6	2015-08-09 00:30:00	-74.00926027	40.7047177
325	421	 1-6	2015-08-09 00:30:00	-73.97129668	40.69573398
326	423	 1-6	2015-08-09 00:30:00	-73.98690506	40.76584941
327	427	 1-6	2015-08-09 00:30:00	-74.013942	40.701907
328	428	 7-14	2015-08-09 00:30:00	-73.98783413	40.72467721
329	430	 1-6	2015-08-09 00:30:00	-73.98656928	40.7014851
330	431	 1-6	2015-08-09 00:30:00	-73.98263429	40.68864636
331	432	 1-6	2015-08-09 00:30:00	-73.98379855	40.72621788
332	433	 1-6	2015-08-09 00:30:00	-73.98057249	40.72955361
333	434	 1-6	2015-08-09 00:30:00	-74.00366443	40.74317449
334	435	 1-6	2015-08-09 00:30:00	-73.99415556	40.74173969
335	437	 1-6	2015-08-09 00:30:00	-73.9500479759	40.6809833854
336	438	 1-6	2015-08-09 00:30:00	-73.98564945	40.72779126
337	439	 1-6	2015-08-09 00:30:00	-73.98978041	40.7262807
338	440	 1-6	2015-08-09 00:30:00	-73.97282625	40.75255434
339	442	 1-6	2015-08-09 00:30:00	-73.993915	40.746647
340	444	 1-6	2015-08-09 00:30:00	-73.98915076	40.7423543
341	445	 1-6	2015-08-09 00:30:00	-73.98142006	40.72740794
342	446	 1-6	2015-08-09 00:30:00	-73.99529885	40.74487634
343	447	 1-6	2015-08-09 00:30:00	-73.9851615	40.76370739
344	448	 1-6	2015-08-09 00:30:00	-73.9979009	40.75660359
345	449	 7-14	2015-08-09 00:30:00	-73.98789473	40.76461837
346	453	 1-6	2015-08-09 00:30:00	-73.99915362	40.74475148
347	457	 7-14	2015-08-09 00:30:00	-73.98169333	40.76695317
348	458	 1-6	2015-08-09 00:30:00	-74.005226	40.751396
349	459	 1-6	2015-08-09 00:30:00	-74.007756	40.746745
350	460	 1-6	2015-08-09 00:30:00	-73.96590294	40.71285887
351	462	 1-6	2015-08-09 00:30:00	-74.00451887	40.74691959
352	463	 1-6	2015-08-09 00:30:00	-74.00443172	40.74206539
353	464	 1-6	2015-08-09 00:30:00	-73.96759673	40.75934501
354	465	 1-6	2015-08-09 00:30:00	-73.98658032	40.75513557
355	466	 1-6	2015-08-09 00:30:00	-73.99144871	40.74395411
356	467	 1-6	2015-08-09 00:30:00	-73.97895137	40.68312489
357	468	 1-6	2015-08-09 00:30:00	-73.98192338	40.7652654
358	470	 1-6	2015-08-09 00:30:00	-74.00004031	40.74345335
359	471	 1-6	2015-08-09 00:30:00	-73.95698119	40.71286844
360	472	 1-6	2015-08-09 00:30:00	-73.98194829	40.7457121
361	474	 1-6	2015-08-09 00:30:00	-73.98683077	40.7451677
362	475	 1-6	2015-08-09 00:30:00	-73.98758561	40.73524276
363	476	 1-6	2015-08-09 00:30:00	-73.97966069	40.74394314
364	478	 1-6	2015-08-09 00:30:00	-73.99884222	40.76030096
365	479	 1-6	2015-08-09 00:30:00	-73.9912551	40.76019252
366	480	 1-6	2015-08-09 00:30:00	-73.99061728	40.76669671
367	481	 1-6	2015-08-09 00:30:00	-73.96264403	40.71260486
368	482	 1-6	2015-08-09 00:30:00	-73.99931783	40.73935542
369	483	 1-6	2015-08-09 00:30:00	-73.98889957	40.73223272
370	484	 1-6	2015-08-09 00:30:00	-73.98014437	40.75500254
371	485	 1-6	2015-08-09 00:30:00	-73.98338988	40.75038009
372	486	 1-6	2015-08-09 00:30:00	-73.98855723	40.7462009
373	487	 7-14	2015-08-09 00:30:00	-73.97573881	40.73314259
374	489	 1-6	2015-08-09 00:30:00	-74.00176802	40.75066386
375	490	 1-6	2015-08-09 00:30:00	-73.993934	40.751551
376	491	 7-14	2015-08-09 00:30:00	-73.98602213	40.74096374
377	493	 1-6	2015-08-09 00:30:00	-73.98291153	40.7568001
378	494	 1-6	2015-08-09 00:30:00	-73.99723551	40.74734825
379	495	 7-14	2015-08-09 00:30:00	-73.99301222	40.76269882
380	498	 7-14	2015-08-09 00:30:00	-73.98808416	40.74854862
381	499	 1-6	2015-08-09 00:30:00	-73.98191841	40.76915505
382	501	 1-6	2015-08-09 00:30:00	-73.97121214	40.744219
383	503	 1-6	2015-08-09 00:30:00	-73.98751968	40.73827428
384	504	 1-6	2015-08-09 00:30:00	-73.98165557	40.73221853
385	505	 1-6	2015-08-09 00:30:00	-73.98848395	40.74901271
386	507	 1-6	2015-08-09 00:30:00	-73.97973776	40.73912601
387	508	 1-6	2015-08-09 00:30:00	-73.99667444	40.76341379
388	510	15-24	2015-08-09 00:30:00	-73.98042047	40.7606597
389	511	 1-6	2015-08-09 00:30:00	-73.97772429	40.72938685
390	513	 1-6	2015-08-09 00:30:00	-73.988639	40.768254
391	515	 7-14	2015-08-09 00:30:00	-73.99461843	40.76009437
392	518	 1-6	2015-08-09 00:30:00	-73.9734419	40.74780373
393	519	 1-6	2015-08-09 00:30:00	-73.977706	40.751873
394	521	 1-6	2015-08-09 00:30:00	-73.9944420755	40.7509673487
395	523	 1-6	2015-08-09 00:30:00	-73.99138152	40.75466591
396	524	 1-6	2015-08-09 00:30:00	-73.98316936	40.75527307
397	526	 1-6	2015-08-09 00:30:00	-73.98490707	40.74765947
398	527	 1-6	2015-08-09 00:30:00	-73.976056	40.744023
399	528	 1-6	2015-08-09 00:30:00	-73.97706058	40.74290902
400	529	 1-6	2015-08-09 00:30:00	-73.99098507	40.7575699
